title,authors,published,url
BIM-Edit: Benchmarking Large Language Models for IFC-Based Building Information Modeling,"Bharathi Kannan Nithyanantham, Clemens Kujat, Tobias Sesterhenn, Stefan Telgmann, Jörn Plönnigs, Stefan Lüdtke, Christian Bartelt",2026-06-18 12:08:04+00:00,http://arxiv.org/abs/2606.20146v1
RACL: Reasoning-Agent Control Layers for Continuous Metaheuristic Learning,Antón Asla Manzárraga,2026-06-18 12:05:16+00:00,http://arxiv.org/abs/2606.20142v1
Learning to Prompt: Improving Student Engagement with Adaptive LLM-based High-School Tutoring,"Po-Chin Chang, Nicholas Hogan, Aske Plaat, Michiel T. van der Meer",2026-06-18 12:00:37+00:00,http://arxiv.org/abs/2606.20138v1
Frequency-Aware Flow Matching for Continuous and Consistent Robotic Action Generation,"Jianing Guo, Fangzheng Chen, Zihao Mao, Wong Lik Hang Kenny, Zhenhong Wu, Yu Li, Yishuai Cai, Yuanpei Chen, Yikun Ban, Kai Chen, Qi Dou, Yaodong Yang, Xianglong Liu, Huijie Zhao, Simin Li",2026-06-18 11:58:30+00:00,http://arxiv.org/abs/2606.20135v1
ScaffoldAgent: Utility-Guided Dynamic Outline Optimization for Open-Ended Deep Research,"Zhibang Yang, Xinke Jiang, Yuzhen Xiao, Ruizhe Zhang, Yue Fang, XinFei Wan, Zhengxing Song, Yuxuan Liu, Yuheng Huang, Xu Chu, Junfeng Zhao, Yasha Wang",2026-06-18 11:47:13+00:00,http://arxiv.org/abs/2606.20122v1
Dual-Agent Framework for Cross-Model Verified Translation of Natural-Language Protocols into Robotic Laboratory Platform,"Hyeonna Choi, Jung Yup Kim, Hyuneui Lim, Seunggyu Jeon",2026-06-18 11:43:27+00:00,http://arxiv.org/abs/2606.20120v1
Sensorimotor World Models: Perception for Action via Inverse Dynamics,"Petr Ivashkov, Randall Balestriero, Bernhard Schölkopf",2026-06-18 11:25:16+00:00,http://arxiv.org/abs/2606.20104v1
"Artificial Intelligence as Game Changer in Cybersecurity: What We Learned in 2025-2026, and how this is relevant for Africa",Mikael Alemu Gorsky,2026-06-18 11:22:48+00:00,http://arxiv.org/abs/2606.20102v1
Hybrid Diffusion Transformer for Instruction-Guided Audio Editing via Rectified Flow,"Liting Gao, Yonggang Zhu, Yaru Chen, Dongyu Wang, Shubin Zhang, Zhenbo Li, Jean-Yves Guillemaut, Wenwu Wang",2026-06-18 11:20:08+00:00,http://arxiv.org/abs/2606.20101v1
Stitching and dimensionality effects on large artificially generated volume datasets,"Lucas von Chamier, Jan Philipp Albrecht, Dagmar Kainmüller",2026-06-18 11:14:20+00:00,http://arxiv.org/abs/2606.20095v1
MakeupMirror: Improving Facial Attribute Preservation in Diffusion Models for Makeup Transfer,"Nefeli Andreou, Angel Martínez-González, Sabine Sternig, Matthieu Guillaumin, Epameinondas Antonakos, Michael Opitz",2026-06-18 11:13:50+00:00,http://arxiv.org/abs/2606.20094v1
IHUBERT: Vector-Based Semantic Deduplication and Domain-Balanced Pretraining for Persian Resources,"Arash Ghafouri, Mahdi Firouzmandi, Hossein Saberi, Mohammad Reza Hasani Ahangar",2026-06-18 11:10:22+00:00,http://arxiv.org/abs/2606.20089v1
Multi-Head Attention-Based Feature Extractor Integration with Soft Actor-Critic for Porosity Prediction and Process Parameter Optimization in Additive Manufacturing,"Kianoush Aqabakee, Leonardo Stella",2026-06-18 11:07:36+00:00,http://arxiv.org/abs/2606.20087v1
Residual-Space Evolutionary Optimization via Flow-based Generative Models,"Zhuo Cao, Lena Krieger, Fernanda Nader, Xuan Zhao, Hanno Scharr, Ira Assent",2026-06-18 11:02:11+00:00,http://arxiv.org/abs/2606.20084v1
The Hidden Evolution of Disguised Visual Context inside the VLM,"Wish Suharitdamrong, Tony Alex, Muhammad Awais, Sara Atito",2026-06-18 10:52:49+00:00,http://arxiv.org/abs/2606.20077v1
Variable-Length Tokenization via Learnable Global Merging for Diffusion Transformers,"Dong Hoon Lee, Seunghoon Hong",2026-06-18 10:52:08+00:00,http://arxiv.org/abs/2606.20076v1
Evaluation of EEG Foundation Models for Event-Based Burst-Suppression Detection in ICU,"Elisa Vasta, Thorir Mar Ingolfsson, Andrea Cossettini, Luca Benini, Tilman Beck, Emanuela Keller, Una Pale",2026-06-18 10:49:36+00:00,http://arxiv.org/abs/2606.20074v1
Process-Verified Reinforcement Learning for Theorem Proving via Lean,"Minsu Kim, Se-Young Yun",2026-06-18 10:40:55+00:00,http://arxiv.org/abs/2606.20068v1
AI Conversational Interviewing: Scaling Up Semi-Structured and In-depth Interviews,"Alexander Wuttke, Max Melchior Lang, Christopher Klamm, Quirin Würschinger, Frauke Kreuter",2026-06-18 10:36:03+00:00,http://arxiv.org/abs/2606.20064v1
Autonomous Event-Driven Multi-Agent Orchestration for Enterprise AI at Scale,"Harsh Rao Dhanyamraju, Leonidas Raghav, Aaron Lee",2026-06-18 10:32:38+00:00,http://arxiv.org/abs/2606.20058v1
Constraint-Limited Tube Orientation of Entangled Polymers in Oscillatory Shear Deformation,"Dario Nichetti, Alessio Zaccone",2026-06-18 10:23:24+00:00,http://arxiv.org/abs/2606.20049v1
See-and-Reach: Precise Vision-Language Navigation for UAVs within the Field of View,"Fanfu Xue, En Yu, Yantian Shen, Zhikun Hu, Hongjun Wang, Yang Yang, Xindi Wang, Jiande Sun",2026-06-18 10:21:42+00:00,http://arxiv.org/abs/2606.20045v1
"AI Economist Agent: An Agentic Framework for Model-Grounded Economic Analysis with RAG, Knowledge Graphs, and Large Language Models",Masahiro Kato,2026-06-18 10:18:03+00:00,http://arxiv.org/abs/2606.20041v1
Tunneling-induced translation of intact $π$-radical clusters on Au(111),"Jacob D. Teeter, Kateryna Averchenko, Maximilian Eliasch, Stefan Müllegger",2026-06-18 10:12:48+00:00,http://arxiv.org/abs/2606.20038v1
A Neuromorphic Reinforcement Learning Framework for Efficient Pathfinding in Robotic Mobile Fulfillment Systems,"Junzhe Xu, Zecui Zeng, Lusong Li, Yuetong Fang, Renjing Xu",2026-06-18 10:04:28+00:00,http://arxiv.org/abs/2606.20031v1
QG-MIL: A Gated Transformer Aggregator for Domain-Agnostic Multiple Instance Learning in Medical Imaging,"Luca Zedda, Davide Antonio Mura, Cecilia Di Ruberto, Maurizio Atzori, Muhammed Furkan Dasdelen, Carsten Marr, Andrea Loddo",2026-06-18 09:58:50+00:00,http://arxiv.org/abs/2606.20027v1
When Lower Privileges Suffice: Investigating Over-Privileged Tool Selection in LLM Agents,"Kaiyue Yang, Yuyan Bu, Jingwei Yi, Yuchi Wang, Biyu Zhou, Juntao Dai, Songlin Hu, Yaodong Yang",2026-06-18 09:54:48+00:00,http://arxiv.org/abs/2606.20023v1
Hierarchical Control in Multi-Agent Games: LLM-based Planning and RL Execution,"Jannik Hösch, Alessandro Sestini, Florian Fuchs, Amir Baghi, Joakim Bergdahl, Konrad Tollmar, Jean-Philippe Barrette-LaPierre, Linus Gisslén",2026-06-18 09:47:06+00:00,http://arxiv.org/abs/2606.20014v1
StreamKL: Fast and Memory-Efficient KL Divergence for Boosting Attention Distillation,"Guangda Liu, Yiquan Wang, Chengwei Li, Wenhao Chen, Jing Lin, Yiwu Yao, Danning Ke, Wenchao Ding, Jieru Zhao",2026-06-18 09:40:38+00:00,http://arxiv.org/abs/2606.20005v1
Connect the Dots: Training LLMs for Long-Lifecycle Agents with Cross-Domain Generalization Via Reinforcement Learning,"Yanxi Chen, Weijie Shi, Yuexiang Xie, Boyi Hu, Yaliang Li, Bolin Ding, Jingren Zhou",2026-06-18 09:38:45+00:00,http://arxiv.org/abs/2606.20002v1
Two Flavon Froggatt-Nielsen Models with Genetic Algorithms,"Miguel Crispim Romão, Stephen F. King",2026-06-18 09:35:38+00:00,http://arxiv.org/abs/2606.20000v1
"Tri-Info: Generalizable, Interpretable Failure Prediction for VLA Models via Information Theory","Jinghan Yang, Yunchao Zhang, Wang Yuan, Haolun Wan, Jiaming Zhang, Zhengyang Hu, Yanchao Yang",2026-06-18 09:34:22+00:00,http://arxiv.org/abs/2606.19998v1
Beyond Static Endpoints: Tool Programs as an Interface for Flexible Agentic Web Services,"Mugeng Liu, Shuoqi Li, Yixuan Zhang, Yun Ma",2026-06-18 09:31:09+00:00,http://arxiv.org/abs/2606.19992v1
Reward as An Agent for Embodied World Models,"Pu Li, Zhigang Lin, Qiang Wu, Yongxuan Lv, Fei Wang, Shan You",2026-06-18 09:29:30+00:00,http://arxiv.org/abs/2606.19990v1
ENPIRE: Agentic Robot Policy Self-Improvement in the Real World,"Wenli Xiao, Jia Xie, Tonghe Zhang, Haotian Lin, Letian ""Max"" Fu, Haoru Xue, Jalen Lu, Yi Yang, Cunxi Dai, Zi Wang, Jimmy Wu, Guanzhi Wang, S. Shankar Sastry, Ken Goldberg, Linxi ""Jim"" Fan, Yuke Zhu, Guanya Shi",2026-06-18 09:21:27+00:00,http://arxiv.org/abs/2606.19980v1
"The Algorithmic-Human Manager: AI, Apps, and Workers in the Indian Gig Economy","Omir Kumar, Krishnan Narayanan",2026-06-18 09:12:21+00:00,http://arxiv.org/abs/2606.19975v1
